[f, 01]
[t, , 咦... 是甚麼東西在震動？]
[t, , 是手機訊息呀。]
[f, 02]
[t, , Stephanie：欸欸，明天就要開學了，還記得上次的約定嗎？]
[t, , Fiona：噢，妳不說還差點忘了。妳輸定了，準備送我上次說的那款包包吧 :D]
[t, , Stephanie：想太多，我才不相信我會輸，畢竟我的身材跟人緣也不輸妳]
[t, , Fiona：那就按照規定，下星期天晚上，把所有工具人叫到我們身邊來比成績吧(^y^)]
[t, , 恩，七天後，我和Stephanie要來比誰蒐集的到工具人比較多。]
[t, , 希望她不會用甚麼垃圾下流招數來贏得這比賽。]
[t, , 依照我認識她的個性，搞不好會用盡各種骯髒手段只為了贏了這場比賽，我就得送她那款超貴的包包了。]
[t, , 組工具箱這種事情我也不是沒做過，反正這大學男生那麼多，應該很好找。]
[t, , 先睡一覺吧，隔天就要開學了。]
[f, 01]
[t, , ]
[f, 00]
[t,  , 奇怪... 鬧鐘怎麼沒有響...]
[f, 02]
[t, , 完了！我根本沒聽到鬧鐘！得快點起床出門上課了！]
[f, 03]
[t, , (在上課路上)]
[t, , 得走快一點，免得第一天上課就遲到...]
[t, Fiona, 啊！！]
[f, c9]
[t, ???, 抱歉，我趕著上課，沒看到妳走過來...]
[t, Fiona, 好痛... 走路不看路耶... 撞到超痛的...]
[t, , 不對，不行，可能這就是第一枚工具人，我要收服他！]
[t, Fiona, 恩... 沒關係啦，我也是趕著上課，難怪會撞到你。你是甚麼...]
[t, ???, 沒有受傷就好，真是十分抱歉，我要先趕路上課囉！掰掰！]
[t, , 可惡，竟然連名字都沒問到，被白撞了，少一個工具人蒐集的機會。]
[t, , 唉，地上有一隻手機，感覺是剛才那個男生掉的。]
[f, 02]
[t, , 原來他叫做Carl。矮額... 手機螢幕好油喔，肥宅油嗎... 明明剛才看起來還人模人樣的。]
[o, A, 2, 他還正在前面趕去上課，這支手機該怎麼辦呀？, 衝過去還他, 自己先收著]
[c, A1]
[f, c9]
[t, Fiona, 嘿嘿！這是你的手機嗎？]
[t, Carl, 對耶！真是謝謝妳！差點就弄丟了！之後如果有機會見面的話再請妳吃頓飯吧！已經打鐘了，我先快走囉！]
[t, , Carl跑走了。]
[f, 03]
[t, Fiona, 切，真是沒用，去上課吧。]
[cend]
[c, A2]
[f, 03]
[t, , 先收起來吧，懶得跑過去拿給他了。]
[cend]
[f, 04]
[t, 教授, 各位同學好，我們這堂課呢，會教各為如何解決各種有趣的問題，像是飛機可能墜毀的地點等等...]
[t, , 好無聊... 室友在旁邊滑手機，有點想睡覺，趴一下好了。]
[f, c2]
[t, , 我室友 Barbara 是個不折不扣的宅女，明明臉蛋身材還不錯，但是就愛一直在那邊用電腦、滑手機、不出門。]
[t, 教授, ...而且我們期中有一個分組報告，需要每一組四位同學，請各位在這堂課中間下課找到組員後跟我登記...]
[t, , 來了！機會來了！我跟室友一組，剩下兩個空位肯定會有男生來找我們！]
[t, Fiona, 欸欸，我們兩個一組的話，還剩下兩個組員要找耶。]
[f, c2]
[t, Barbara, 恩... 交給妳了，我不太習慣跟陌生人說話，妳在男生眼中很夯的。]
[t, Fiona, 哈哈哈，哪有~ 搞不好最後我們兩個是孤兒~ ]
[f, 04]
[t, , 這次分組不只是要找到組員，還要找到我的工具人，希望能夠一次找到兩個U質的。]
[f, 05]
[t, ???, 那個... 妳只有一個人嗎？我們三位還差一位組員。]
[t, Fiona, 沒有喔，我們這邊只缺兩位組員耶，還是你們三個男生要撥兩位給我~？]
[t, ???, 痾... 我們討論看看...]
[f, 04]
[t, , 他們交頭接耳不知道在討論啥。]
[t, , 噢！他們討論得越來越激烈，講話越來越大聲了，該不會吵架了吧...]
[f, 05]
[t, ???, 那個...我們討論的結果是，給妳們兩位女生挑吧？這樣最公平~ ]
[t, Fiona, 但是被踢出去的那位不會很難過嗎？]
[t, ???, 這你就別擔心了啦，我們都是堅強的男人，哈哈哈哈。]
[o, B, 3, 要踢掉哪一位男生呢...？, 左邊那位, 中間那位, 右邊那位]
[c, B1]
[t, Fiona, 那就... 中間和右邊那位吧...？]
[t, , 那群男生一邊嘲笑一邊打屁的把左邊那位感覺重度近視的男生給趕走了。]
[f, 06]
[t, , 不知道是不是有點壞，算了。]
[t, ???, 那期中報告就一起完成吧，對了，我叫 Eliot，我旁邊這位是 Gavin 。]
[t, Gavin, 嗨嗨，希望報告不會太麻煩，哈哈。]
[t, Eliot, 那就先這樣吧，之後再跟妳們聯絡討論報告作業的時間吧~！]
[t, Fiona, 嗯嗯，先這樣吧。]
[cend]
[c, B2]
[t, Fiona, 那就... 左邊和右邊那位吧...？]
